test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.1,200,100,eml_ssc,22,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,23,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,24,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,25,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,26,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,27,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,28,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,29,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,30,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,31,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,32,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,33,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,34,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,35,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,36,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,37,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,38,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,39,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,40,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,41,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,42,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,43,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,44,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,45,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,46,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,47,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,48,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,49,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,50,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,51,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,52,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,53,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,54,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,55,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,56,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,57,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,58,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,59,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,60,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,61,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,62,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,63,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,64,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,65,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,66,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,67,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,68,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,69,0.0,0.0,0.0,30
